喫茶店
など
昨夜
遅い
行く
妹
文章
どうも
醤油
音楽
子供
黄色い
玄関
北
去年
若い
お父さん
大人
郵便局
長い
ラジオカセ
風邪
返す
台所
紅茶
字引
締める
鍵
風
もうと
茶碗
全部
ぺーじ
仕事
古い
お風呂
しかし
低い
消える
黒い
６日
差す
灰皿
出る
少ない
閉める
４つ
牛肉
一つ


喫茶店 きっさてん 咖啡店
など など etcetera
昨夜 ゆうべ 昨晚
遅い おそい 迟到的
行く ゆく 行走
妹 いもうと 妹妹
文章 ぶんしょう 文章
どうも どうも 谢谢
醤油 しょうゆ 酱油
音楽 おんがく 音乐
子供 こども 孩子
黄色い きいろい 黄色的
玄関 げんかん 玄关
北 きた 北方
去年 きょねん 去年
若い わかい 年轻的
お父さん おとうさん 父亲
大人 おとな 成人
郵便局 ゆうびんきょく 邮局
長い ながい 长的
ラジオカセ ラジオカセット 收放机
風邪 かぜ 感冒
返す かえす 返回
台所 だいどころ 厨房
紅茶 こうちゃ 红茶
字引 じびき 字典
締める しめる 系上
鍵 かぎ 钥匙
風 かぜ 风
もうと もうと 更
茶碗 ちゃわん 碗
全部 ぜんぶ 全部
ぺーじ page 页
仕事 しごと 事情
古い ふるい 旧的
お風呂 おふろ 澡堂
しかし しかし 然而
低い ひくい 矮的
消える きえる 消失
黒い くろい 黑色的
６日 むいか 六号
差す さす 产生，撑
灰皿 はいざら 烟灰缸
出る でる 出去
少ない すくない 少的
閉める しめる 关闭
４つ よっつ 四
牛肉 ぎゅうにく 牛肉
一つ ひとつ 一
